"measurement_time","temp_out"
"2023-12-06 00:08:09",1.5
"2023-12-06 00:17:52",1.4
"2023-12-06 00:27:36",1.4
"2023-12-06 00:37:20",1.3
"2023-12-06 00:47:04",1.1
"2023-12-06 00:56:48",1.0
"2023-12-06 01:06:33",1.0
"2023-12-06 01:16:15",1.0
"2023-12-06 01:26:00",0.9
"2023-12-06 01:35:44",1.0
"2023-12-06 01:45:28",1.0
"2023-12-06 01:55:11",1.0
"2023-12-06 02:04:55",0.9
"2023-12-06 02:14:40",0.8
"2023-12-06 02:24:22",0.8
"2023-12-06 02:34:06",0.8
"2023-12-06 02:43:50",0.8
"2023-12-06 02:53:35",0.7
"2023-12-06 03:03:18",0.6
"2023-12-06 03:13:02",0.5
"2023-12-06 03:22:46",0.2
"2023-12-06 03:32:30",0.0
"2023-12-06 03:42:15",0.0
"2023-12-06 03:51:57",-0.1
"2023-12-06 04:01:41",-0.1
"2023-12-06 04:11:26",-0.1
"2023-12-06 04:21:10",-0.2
"2023-12-06 04:30:54",-0.3
"2023-12-06 04:40:38",-0.3
"2023-12-06 04:50:22",-0.3
"2023-12-06 05:00:07",-0.3
"2023-12-06 05:09:51",-0.3
"2023-12-06 05:19:37",-0.4
"2023-12-06 05:29:24",-0.6
"2023-12-06 05:39:06",-0.6
"2023-12-06 05:48:51",-0.6
"2023-12-06 05:58:35",-0.7
"2023-12-06 06:08:19",-0.6
"2023-12-06 06:18:04",-0.7
"2023-12-06 06:27:50",-0.7
"2023-12-06 06:37:36",-0.9
"2023-12-06 06:47:20",-1.0
"2023-12-06 06:57:03",-1.0
"2023-12-06 07:06:49",-1.0
"2023-12-06 07:16:33",-0.9
"2023-12-06 07:26:16",-0.7
"2023-12-06 07:36:01",-0.6
"2023-12-06 07:45:44",-0.5
"2023-12-06 07:55:27",-0.4
"2023-12-06 08:05:10",-0.2
"2023-12-06 08:14:54",0.0
"2023-12-06 08:24:38",0.3
"2023-12-06 08:34:22",0.9
"2023-12-06 08:44:06",1.4
"2023-12-06 08:53:50",1.6
"2023-12-06 09:03:33",1.9
"2023-12-06 09:13:18",2.2
"2023-12-06 09:23:01",3.0
"2023-12-06 09:32:45",3.8
"2023-12-06 09:42:31",4.1
"2023-12-06 09:52:15",4.6
"2023-12-06 10:01:59",4.5
"2023-12-06 10:11:44",4.6
"2023-12-06 10:21:28",4.7
"2023-12-06 10:31:12",4.9
"2023-12-06 10:40:56",5.1
"2023-12-06 10:50:41",5.4
"2023-12-06 11:00:25",6.0
"2023-12-06 11:10:10",6.1
"2023-12-06 11:19:53",6.2
"2023-12-06 11:29:37",6.6
"2023-12-06 11:39:22",7.6
"2023-12-06 11:49:06",9.8
"2023-12-06 11:58:50",9.0
"2023-12-06 12:08:35",8.1
"2023-12-06 12:18:20",8.0
"2023-12-06 12:28:03",8.3
"2023-12-06 12:37:48",8.4
"2023-12-06 12:47:34",9.1
"2023-12-06 12:57:20",8.7
"2023-12-06 13:07:06",8.5
"2023-12-06 13:16:50",8.9
"2023-12-06 13:26:35",8.9
"2023-12-06 13:36:19",8.4
"2023-12-06 13:46:03",8.2
"2023-12-06 13:55:47",8.4
"2023-12-06 14:05:30",9.0
"2023-12-06 14:15:15",8.5
"2023-12-06 14:25:00",9.5
"2023-12-06 14:34:43",9.4
"2023-12-06 14:44:28",9.9
"2023-12-06 14:54:12",10.4
"2023-12-06 15:03:56",10.0
"2023-12-06 15:13:40",9.0
"2023-12-06 15:23:24",8.4
"2023-12-06 15:33:08",8.2
"2023-12-06 15:42:53",7.6
"2023-12-06 15:52:38",7.2
"2023-12-06 16:02:21",7.0
"2023-12-06 16:12:06",6.9
"2023-12-06 16:21:51",6.7
"2023-12-06 16:31:34",6.8
"2023-12-06 16:41:19",6.9
"2023-12-06 16:51:03",7.0
"2023-12-06 17:00:47",7.0
"2023-12-06 17:10:31",7.0
"2023-12-06 17:20:16",7.0
"2023-12-06 17:29:59",7.0
"2023-12-06 17:39:44",6.9
"2023-12-06 17:49:28",6.8
"2023-12-06 17:59:12",6.6
"2023-12-06 18:08:56",6.5
"2023-12-06 18:18:40",6.2
"2023-12-06 18:28:24",6.2
"2023-12-06 18:38:09",6.4
"2023-12-06 18:47:53",6.2
"2023-12-06 18:57:37",6.1
"2023-12-06 19:07:21",6.1
"2023-12-06 19:17:05",6.1
"2023-12-06 19:26:50",5.7
"2023-12-06 19:36:34",5.5
"2023-12-06 19:46:19",5.4
"2023-12-06 19:56:03",5.2
"2023-12-06 20:05:47",5.0
"2023-12-06 20:15:31",5.3
"2023-12-06 20:25:15",5.4
"2023-12-06 20:34:59",5.3
"2023-12-06 20:44:44",5.1
"2023-12-06 20:54:28",5.1
"2023-12-06 21:04:12",5.1
"2023-12-06 21:13:57",5.1
"2023-12-06 21:23:40",5.2
"2023-12-06 21:33:25",5.4
"2023-12-06 21:43:09",5.9
"2023-12-06 21:52:53",6.9
"2023-12-06 22:02:37",7.3
"2023-12-06 22:12:21",7.4
"2023-12-06 22:22:05",7.5
"2023-12-06 22:31:50",7.5
"2023-12-06 22:41:33",7.5
"2023-12-06 22:51:17",7.4
"2023-12-06 23:01:01",7.3
"2023-12-06 23:10:45",7.4
"2023-12-06 23:20:28",7.4
"2023-12-06 23:30:13",7.4
"2023-12-06 23:39:57",7.3
"2023-12-06 23:49:41",7.2
"2023-12-06 23:59:25",7.0
